timestamp,agent_id,method,state,pos_x,pos_y,pos_z,current_node,next_node,route
00:16:30.035,1,planned,searching,0.0,0.0,0.7,0,10,"[5, 10, 15, 20, 21, 22, 17, 16, 11, 6, 0]"
00:16:31.881,1,planned,searching,0.0,0.0,39.2,10,10,"[5, 10, 15, 20, 21, 22, 17, 16, 11, 6, 0]"
00:16:32.820,1,planned,searching,0.0,0.0,58.8,15,20,"[5, 10, 15, 20, 21, 22, 17, 16, 11, 6, 0]"
00:16:33.796,1,planned,searching,0.0,0.0,79.1,20,21,"[5, 10, 15, 20, 21, 22, 17, 16, 11, 6, 0]"
00:16:34.700,1,planned,searching,18.88,0.0,79.95,21,22,"[5, 10, 15, 20, 21, 22, 17, 16, 11, 6, 0]"
00:16:35.671,1,planned,searching,39.18,0.0,80.0,22,17,"[5, 10, 15, 20, 21, 22, 17, 16, 11, 6, 0]"
00:16:36.585,1,planned,searching,39.95,0.0,61.11,17,16,"[5, 10, 15, 20, 21, 22, 17, 16, 11, 6, 0]"
00:16:37.491,1,planned,searching,21.08,0.0,60.06,16,11,"[5, 10, 15, 20, 21, 22, 17, 16, 11, 6, 0]"
00:16:38.399,1,planned,searching,20.06,0.0,41.19,11,6,"[5, 10, 15, 20, 21, 22, 17, 16, 11, 6, 0]"
00:16:39.366,1,planned,searching,20.0,0.0,20.89,6,0,"[5, 10, 15, 20, 21, 22, 17, 16, 11, 6, 0]"
00:16:40.701,1,planned,searching,0.64,0.0,0.67,0,0,"[5, 10, 15, 20, 21, 22, 17, 16, 11, 6, 0]"
